ID	Valid	SU	Fn	NFn	Ctx	Form	Root
profesor	1	profésor					
english	1		f				
liga	1						
editorial	1						
home	1						
liga	1						
tempointeraktif	1						
editorial	1						
selebritas	1						
infografis	1						
photostock	1		f				
pdat	1						
audio	1						
jurnalisme	1						
edition	1		f				
profil	1						
contact	1		f				
index	1		f				
copyright	1		f				
search	1		f				
login	1		f				
please	1		f				
suggestions	1		f				
send	1		f				
disclaimer	1		f				
rights	1		f				
print	1		f				
reserved	1		f				
enterprise	1		f				
subscribe	1		f				
lifestyle	1		f				
features	1		f				
format	1		f				
register	1		f				
group	1		f				
partners	1		f				
share	1		f				
more	1		f				
