ID	Valid	SU	Fn	NFn	Ctx	Form	Root
aceh	1	acéh	n		tempat		
adam	1		n		nabi		
afrika	1		n		tempat		
albania	1		n		tempat		
alfarini	1		n		jalma		
allah	1	alloh	n		pangéran		
ambon	1		n		tempat		
amerika	1	amérika	n		tempat		
amsterdam	1		n		tempat		
andreae	1		n		jalma		
arab	1		n		tempat		
asia	1		n		tempat		
australia	1		n		tempat		
badri	1		n		jalma		
bali	1		n		tempat		
bambang	1		n		jalma		
bandung	1		n		tempat		
bangladesh	1	bangladésh	n		tempat		
banjarmasin	1		n		tempat		
banten	1		n		tempat		
barack	1		n		jalma		
belanda	1	walanda	n		tempat		
belgia	1		n		tempat		
birmingham	1		n		tempat		
blackberry	1		n		org		
blogspot	1		n		org		
bogor	1		n		tempat		
brasil	1		n		tempat		
brussel	1		n		tempat		
bulgaria	1		n		tempat		
burkina	1		n		tempat		
buwono	1		n		jalma		
catalina	1		n		tempat		
changi	1		n		tempat		
chris	1		n		jalma		
ciamis	1		n		tempat		
cina	1		n		tempat		
darul	1		n		jalma		
denpasar	1	dénpasar	n		tempat		
eropa	1	éropa	n		tempat		
gaza	1		n		tempat		
goenawan	1		n		jalma		
gorontalo	1		n		tempat		
hadad	1		n		jalma		
hamas	1		n		org		
harifin	1		n		jalma		
hatta	1		n		jalma		
hindia	1		n		tempat		
hitler	1		n		jalma		
hungaria	1		n		tempat		
ibrahim	1		n		nabi		
india	1		n		tempat		
indonesia	1	indonésia	n		tempat		
indosat	1		n		org		
inggris	1		n		tempat		
irak	1		n		tempat		
iran	1		n		tempat		
isa	1		n		nabi		
istambul	1		n		tempat		
italia	1		n		tempat		
jakarta	1		n		tempat		
jambi	1		n		tempat		
jawa	1		n		tempat		
jepang	1		n		tempat		
jerman	1		n		tempat		
john	1		n		jalma		
kalimantan	1		n		tempat		
kanada	1		n		tempat		
kay	1		n		jalma		
korea	1	koréa	n		tempat		
lebanon	1	libanon	n		tempat		
linggarjati	1		n		tempat		
london	1		n		tempat		
madiun	1		n		tempat		
magelang	1		n		tempat		
majapahit	1		n		tempat		
makassar	1		n		tempat		
malaysia	1		n		tempat		
maluku	1		n		tempat		
manila	1		n		tempat		
marcella	1		n		jalma		
maria	1		n		jalma		
maryam	1		n		jalma		
matoangin	1		n		tempat		
medan	1		n		tempat		
megawati	1		n		jalma		
melayu	1	malayu	n		tempat		
melbourne	1		n		tempat		
mesir	1		n		tempat		
meutia	1		n		jalma		
milan	1		n		tempat		
mira	1		n		jalma		
mitsubishi	1		n		org		
mohamad	1		n		jalma		
mountbatten	1		n		tempat		
mozambik	1		n		tempat		
muhammad	1		n		nabi		
musa	1		n		nabi		
myanmar	1		n		tempat		
nikaragua	1		n		tempat		
nuh	1		n		nabi		
obama	1		n		jalma		
padang	1		n		tempat		
pakistan	1		n		tempat		
palestina	1	paléstina	n		tempat		
pangalengan	1	pangaléngan	n		tempat		
papua	1		n		tempat		
paul	1		n		jalma		
perancis	1		n		tempat		
pereira	1		n		jalma		
pertamina	1		n		org		
perth	1		n		tempat		
pinang	1		n		tempat		
polandia	1		n		tempat		
pontianak	1		n		tempat		
prancis	1	perancis	n		tempat		
premium	1		n				
priangan	1	parahiangan	n		tempat		
rafael	1		n		jalma		
renville	1		n		jalma		
reuters	1		n		org		
riau	1		n		tempat		
rusia	1		n		tempat		
safir	1		n		jalma		
samarinda	1		n		tempat		
saudi	1		n		tempat		
semarang	1		n		tempat		
singapura	1		n		tempat		
skotlandia	1		n		tempat		
sophia	1		n		jalma		
soviet	1	sovyét	n		tempat		
spanyol	1		n		tempat		
sukabumi	1		n		tempat		
sukarno	1		n		jalma		
sulawesi	1		n		tempat		
sumatera	1		n		tempat		
sunda	1		n		tempat		
supratman	1		n		jalma		
surabaya	1		n		tempat		
surakarta	1		n		tempat		
susanto	1		n		tempat		
susilo	1		n		jalma		
tasikmalaya	1		n		tempat		
tiongkok	1		n		tempat		
toriq	1		n		jalma		
toyota	1		n		org		
turki	1		n		tempat		
wolverhampton	1		n		tempat		
wordpress	1		n		org		
yahya	1		n		jalma		
yogyakarta	1		n		tempat		
yohanes	1		n		jalma		
yudhoyono	1		n		jalma		
yugoslavia	1		n		tempat		
yunani	1		n		tempat		
zaini	1		n		jalma		
microsoft	1		n		org		
